V3079	VS002	VS012	VS013	VS014	VS015	VS017	VS019	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	9	9	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	1	2	2	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
0	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	9	9	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	9	9	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	9	9	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	9	9	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	1	1	2	2	2	
4	2008	9	1	1	2	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	9	9	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
1	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
1	2008	9	9	9	9	2	2	
0	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
0	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
4	2008	9	9	9	9	2	2	
